ID,Entry,Gene names,Cross-reference (STRING)
0,Q9UMR3,TBX20,9606.ENSP00000386170
1,Q9P031,CCDC59 BR22 TAP26 HSPC128,9606.ENSP00000256151
2,Q6PEY2,TUBA3E,9606.ENSP00000318197
3,Q9P016,THYN1 THY28 HSPC144 MDS012 My0054,9606.ENSP00000341657
4,Q71RH2,TLCD3B FAM57B FP1188,9606.ENSP00000369863
5,Q9BQ16,SPOCK3 TICN3 UNQ409/PRO771,9606.ENSP00000349677
6,Q86W42,THOC6 WDR58 PSEC0006,9606.ENSP00000326531
7,Q5TEJ8,THEMIS2 C1orf38 ICB1,9606.ENSP00000363031
8,Q92526,CCT6B,9606.ENSP00000327191
9,Q96RS0,TGS1 HCA137 NCOA6IP PIMT,9606.ENSP00000260129
10,Q5JTD0,TJAP1 PILT TJP4,9606.ENSP00000361522
11,Q01664,TFAP4 BHLHC41,9606.ENSP00000204517
12,Q8WW62,TMED6 UNQ9146/PRO34237,9606.ENSP00000288025
13,Q96B21,TMEM45B,9606.ENSP00000281441
14,Q9Y2Y6,TMEM98 UNQ536/PRO1079,9606.ENSP00000463245
15,Q5T0D9,TPRG1L FAM79A MOVER,9606.ENSP00000367595
16,Q9H6L2,TMEM231 UNQ870/PRO1886,9606.ENSP00000258173
17,Q9UBP6,METTL1 C12orf1,9606.ENSP00000314441
18,Q9BU79,TMEM243 C7orf23,9606.ENSP00000398083
19,O95859,TSPAN12 NET2 TM4SF12 UNQ774/PRO1568,9606.ENSP00000222747
20,Q86SZ2,TRAPPC6B,9606.ENSP00000330289
21,P49638,TTPA TPP1,9606.ENSP00000260116
22,Q14166,TTLL12 KIAA0153,9606.ENSP00000216129
23,A6NNY8,USP27X USP22L USP27,9606.ENSP00000483631
24,Q8N6Y0,USHBP1 AIEBP MCC2,9606.ENSP00000252597
25,Q8N8G2,VGLL2 VITO1,9606.ENSP00000320957
26,P08670,VIM,9606.ENSP00000446007
27,Q8NFZ6,VN1R2 V1RL2,9606.ENSP00000351244
28,Q7Z5H5,VN1R4 V1RL4,9606.ENSP00000310856
29,Q9H598,SLC32A1 VGAT VIAAT,9606.ENSP00000217420
30,Q6RSH7,VHLL VLP,9606.ENSP00000464258
31,Q6VEQ5,WASH2P FAM39B,9606.ENSP00000485442
32,P42768,WAS IMD2,9606.ENSP00000365891
33,P13010,XRCC5 G22P2,9606.ENSP00000375978
34,O15537,RS1 XLRS1,9606.ENSP00000369320
35,Q9UID3,VPS51 ANG2 C11orf2 C11orf3 FFR PP5382,9606.ENSP00000279281
36,Q8N5D0,WDTC1 KIAA1037,9606.ENSP00000317971
37,O95497,VNN1,9606.ENSP00000356905
38,Q6PCB0,VWA1,9606.ENSP00000417185
39,P58317,ZNF121 ZNF20,9606.ENSP00000326967
40,Q3SXZ3,ZNF718,9606.ENSP00000480556
41,Q14929,ZNF169,9606.ENSP00000378792
42,P17025,ZNF182 KOX14 ZNF21,9606.ENSP00000380165
43,Q8TA94,ZNF563,9606.ENSP00000293725
44,Q8NB42,ZNF527 KIAA1829,9606.ENSP00000390179
45,Q14584,ZNF266 KIAA2007,9606.ENSP00000466714
46,Q8TBZ5,ZNF502,9606.ENSP00000296091
47,Q08ER8,ZNF543,9606.ENSP00000322545
48,Q8N9Z0,ZNF610,9606.ENSP00000383922
49,Q9BR84,ZNF559,9606.ENSP00000468153
50,Q8N587,ZNF561,9606.ENSP00000303915
51,Q96N22,ZNF681,9606.ENSP00000384000
52,Q8TAW3,ZNF671,9606.ENSP00000321848
53,Q9NYW0,TAS2R10,9606.ENSP00000240619
54,P47897,QARS1 QARS,9606.ENSP00000307567
55,Q96DZ7,TM4SF19 OCTM4,9606.ENSP00000273695
56,Q8TB96,ITFG1 LNKN-1 TIP CDA08,9606.ENSP00000319918
57,Q8WZ71,TMEM158 HBBP RIS1,9606.ENSP00000422431
58,Q53S58,TMEM177,9606.ENSP00000402661
59,Q8N511,TMEM199 C17orf32,9606.ENSP00000292114
60,Q15583,TGIF1 TGIF,9606.ENSP00000327959
61,A6NKL6,TMEM200C TTMA,9606.ENSP00000463375
62,Q12893,TMEM115 PL6 LUCA11.2,9606.ENSP00000266025
63,Q6ZP80,TMEM182 UNQ6974/PRO21957,9606.ENSP00000394178
64,P21980,TGM2,9606.ENSP00000355330
65,Q9H0C3,TMEM117,9606.ENSP00000266534
66,Q96GX1,TCTN2 C12orf38 TECT2,9606.ENSP00000304941
67,Q8WUH2,TGFBRAP1,9606.ENSP00000377027
68,Q92994,BRF1 BRF GTF3B TAF3B2 TAF3C,9606.ENSP00000448323
69,Q9NQB0,TCF7L2 TCF4,9606.ENSP00000358404
70,Q8WVP5,TNFAIP8L1,9606.ENSP00000444215
71,Q8NHX9,TPCN2 TPC2,9606.ENSP00000294309
72,Q13061,TRDN,9606.ENSP00000439281
73,Q6UX40,TMEM107 DC20 UNQ638/PRO1268,9606.ENSP00000314116
74,Q9C026,TRIM9 KIAA0282 RNF91,9606.ENSP00000298355
75,Q9HD45,TM9SF3 SMBP UNQ245/PRO282,9606.ENSP00000360184
76,Q5JU69,TOR2A TORP1 UNQ6408/PRO21181,9606.ENSP00000362381
77,Q24JQ0,TMEM241 C18orf45,9606.ENSP00000372720
78,Q8NEE8,TTC16,9606.ENSP00000362386
79,O60637,TSPAN3 TM4SF8,9606.ENSP00000267970
80,Q96A04,TSACC C1orf182,9606.ENSP00000357238
81,Q5SRN2,TSBP1 C6orf10,9606.ENSP00000415517
82,Q9C0H2,TTYH3 KIAA1691,9606.ENSP00000258796
83,O95922,TTLL1 C22orf7,9606.ENSP00000266254
84,C9JVI0,USP17L11,9606.ENSP00000400880
85,Q96PU4,UHRF2 NIRF RNF107,9606.ENSP00000276893
86,P30530,AXL UFO,9606.ENSP00000301178
87,Q8NEY4,ATP6V1C2,9606.ENSP00000272238
88,Q9Y2K6,USP20 KIAA1003 LSFR3A VDU2,9606.ENSP00000313811
89,P38435,GGCX GC,9606.ENSP00000233838
90,Q9Y277,VDAC3,9606.ENSP00000428845
91,Q5VIR6,VPS53 PP13624,9606.ENSP00000401435
92,Q8TBZ3,WDR20,9606.ENSP00000406084
93,Q9Y279,VSIG4 CRIg Z39IG UNQ317/PRO362,9606.ENSP00000363869
94,O75695,RP2,9606.ENSP00000218340
95,P46937,YAP1 YAP65,9606.ENSP00000478927
96,Q9Y2T7,YBX2 CSDA3 MSY2,9606.ENSP00000007699
97,Q86YH2,ZNF280B SUHW2 ZNF279 ZNF632,9606.ENSP00000480958
98,Q9Y2K1,ZBTB1 KIAA0997,9606.ENSP00000451000
99,Q9Y462,ZNF711 CMPX1 ZNF6,9606.ENSP00000362260
100,Q96NB3,ZNF830 CCDC16,9606.ENSP00000354518
101,Q9UIJ5,ZDHHC2 REAM REC ZNF372,9606.ENSP00000262096
102,Q6DD87,ZNF787,9606.ENSP00000478557
103,A8MT70,ZBBX,9606.ENSP00000390232
104,Q49AG3,ZBED5 Buster1,9606.ENSP00000398106
105,P51523,ZNF84,9606.ENSP00000331465
106,A6NJL1,ZSCAN5B,9606.ENSP00000466072
107,Q13105,ZBTB17 MIZ1 ZNF151 ZNF60,9606.ENSP00000364885
108,Q8NBB4,ZSCAN1,9606.ENSP00000282326
109,Q969W1,ZDHHC16 APH2 UNQ2570/PRO6258,9606.ENSP00000377357
110,O14771,ZNF213 ZKSCAN21,9606.ENSP00000380087
111,Q15649,ZNHIT3 TRIP3,9606.ENSP00000484687
112,Q8NEW0,SLC30A7 ZNT7 ZNTL2,9606.ENSP00000359130
113,Q8N8L2,ZNF491,9606.ENSP00000313443
114,Q99676,ZNF184,9606.ENSP00000211936
115,O14863,SLC30A4 ZNT4,9606.ENSP00000261867
116,Q14590,ZNF235 ZFP93 ZNF270,9606.ENSP00000291182
117,Q8N554,ZNF276 CENP-Z ZFP276 ZNF477,9606.ENSP00000415836
118,Q8TAU3,ZNF417,9606.ENSP00000311319
119,Q9HBT7,ZNF287 ZKSCAN13,9606.ENSP00000379168
120,Q96N77,ZNF641,9606.ENSP00000437832
121,Q06730,ZNF33A KIAA0065 KOX31 ZNF11 ZNF11A ZNF33,9606.ENSP00000304268
122,Q8IZM8,ZNF654,9606.ENSP00000312141
123,Q9UEG4,ZNF629 KIAA0326 ZNF65,9606.ENSP00000262525
124,Q86YT5,SLC13A5 NACT,9606.ENSP00000406220
125,Q9GZN6,SLC6A16 NTT5,9606.ENSP00000338627
126,Q9Y3B4,SF3B6 SAP14 SF3B14 SF3B14A CGI-110 HSPC175 HT006,9606.ENSP00000233468
127,Q9Y2P4,SLC27A6 ACSVL2 FACVL2 FATP6,9606.ENSP00000262462
128,Q8IWT1,SCN4B,9606.ENSP00000322460
129,Q8WV19,SFT2D1 C6orf83,9606.ENSP00000354590
130,Q8WTS6,SETD7 KIAA1717 KMT7 SET7 SET9,9606.ENSP00000274031
131,Q96ES7,SGF29 CCDC101,9606.ENSP00000316114
132,O95562,SFT2D2 UNQ512/PRO1027,9606.ENSP00000271375
133,P21673,SAT1 SAT,9606.ENSP00000368572
134,Q86VE3,SATL1,9606.ENSP00000425421
135,Q9HB31,SEBOX OG9X,9606.ENSP00000444503
136,Q9H3E2,SNX25 MSTP043,9606.ENSP00000426255
137,Q86XE0,SNX32 SNX6B,9606.ENSP00000310620
138,Q9HCB6,SPON1 KIAA0762 VSGP,9606.ENSP00000460236
139,O95219,SNX4,9606.ENSP00000251775
140,O15105,SMAD7 MADH7 MADH8,9606.ENSP00000262158
141,Q0VAQ4,SMAGP,9606.ENSP00000475068
142,P48594,SERPINB4 PI11 SCCA2,9606.ENSP00000343445
143,Q9H7B4,SMYD3 ZMYND1 ZNFN3A1,9606.ENSP00000419184
144,Q9NPE6,SPAG4 SUN4,9606.ENSP00000363391
145,P62316,SNRPD2 SNRPD1,9606.ENSP00000342374
146,Q8NCR6,SMRP1 C9orf24 CBE1,9606.ENSP00000297623
147,Q5JUX0,SPIN3,9606.ENSP00000364054
148,Q8NCJ5,SPRYD3,9606.ENSP00000301463
149,Q9NUQ6,SPATS2L DNAPTP6 SP1224,9606.ENSP00000482515
150,Q969G3,SMARCE1 BAF57,9606.ENSP00000323967
151,Q8N0X2,SPAG16 PF20,9606.ENSP00000332592
152,Q9BPZ2,SPIN2B SPIN2,9606.ENSP00000335008
153,Q9GZT3,SLIRP C14orf156 DC23 DC50 PD04872,9606.ENSP00000450909
154,Q7Z6I5,SPATA12 SRG5,9606.ENSP00000335392
155,Q5VZ18,SHE,9606.ENSP00000307369
156,Q8N114,SHISA5 SCOTIN PSEC0133,9606.ENSP00000296444
